gm,high_keeper,mid_keeper,low_keeper
Alex,DeAndre Hopkins,DeVante Parker,Kareem Hunt
Ashton,Christian McCaffrey,Will Fuller,Cole Beasley
Brett,Mike Evans,Devin Singletary,DK Metcalf
Chris,Davante Adams,AJ Brown,James Conner
Dave,Julio Jones,Chris Carson,Darren Waller
Ian,Saquan Barkley,Hollywood Brown,Nick Chubb
Jack,Derrick Henry,George Kittle,Kyler Murray
Jon,Ezekiel Elliott,Ronald Jones,Allen Robinson
Katz,Michael Thomas,Juju Smith-Schuster,Terry McLaurin
Mikulich,Miles Sanders,Mark Andrews,Kenyan Drake
Nate,Alvin Kamara,Austin Ekler,Russell Wilson
Todd,Dalvin Cook,Lamar Jackson,Courtland Sutton
